Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 08-Nov-2025),Crossref citations (as of 08-Nov-2025)
Artificial intelligence and knowledge management: questioning the tacit dimension,"Peter Busch, Gustavo Guzman, Louis Sanzogni",Prometheus,35,1,p37 - p56,2017,10.1080/08109028.2017.1364547,01-Sep-2017,https://doi.org/10.1080/08109028.2017.1364547,1147.0,72.0
Design and management of assembly systems 4.0: systematic literature review and research agenda,"Alexandre Dolgui, Fabio Sgarbossa, Marco Simonetto",International Journal of Production Research,60,1,p184 - p210,2022,10.1080/00207543.2021.1990433,22-Oct-2021,https://doi.org/10.1080/00207543.2021.1990433,10047.0,80.0
Quality control in manufacturing - review and challenges on robotic applications,"S Makris, G Michalos, A Papavasileiou",International Journal of Computer Integrated Manufacturing,38,1,p79 - p115,2025,10.1080/0951192x.2024.2314789,22-Feb-2024,https://doi.org/10.1080/0951192x.2024.2314789,8941.0,26.0
Improving processes and ergonomics at air freight handling agents: a case study,"Heiko Diefenbach, Nathalie Erlemann, Christoph H Glock, Eric H Grosse, Alexander Lunin, Kai-Oliver Schocke",International Journal of Logistics Research and Applications,26,4,p399 - p420,2023,10.1080/13675567.2021.1958305,26-Jul-2021,https://doi.org/10.1080/13675567.2021.1958305,592.0,5.0
A scoping review on emerging technologies and automation of musculoskeletal ergonomic assessments,"Hari Iyer, Heejin Jeong, Eunsik Kim, Chang S Nam",Ergonomics,,,p1 - p26,5187,10.1080/00140139.2025.2547286,22-Aug-2025,https://doi.org/10.1080/00140139.2025.2547286,204.0,0.0
Using a STEM activity to improve social communication interactions in autism spectrum disorder,"Jonna L Bobzien, Chung-Hao Chen, Stephen Deutsch, Purnima Gorrepati, Kathrin Hartmann, Anne M P Michalek, Leonore Okwara, Lisa Phalen, Maria Urbano, Takeshia Williams",Preventing School Failure: Alternative Education for Children and Youth,65,1,p38 - p47,2020,10.1080/1045988x.2020.1811627,10-Sep-2020,https://doi.org/10.1080/1045988x.2020.1811627,843.0,5.0
Occlusive target recognition method of sorting robot based on anchor-free detection network,"Changlin Song, Fuzhi Wang",Journal of Experimental & Theoretical Artificial Intelligence,37,8,p1247 - p1265,2025,10.1080/0952813x.2024.2383647,29-Aug-2024,https://doi.org/10.1080/0952813x.2024.2383647,90.0,0.0
"Teaming with a Robot in Mixed Reality: Dynamics of Trust, Self-Efficacy, and Mental Models Affected by Information Richness","Christine Busch, Roland Haring, Benedikt Leichtmann, Martina Mara, Thomas Meneweger, Kathrin Meyer, Daniel Rammer, Bernhard Reiterer",International Journal of Human–Computer Interaction,41,5,p3166 - p3183,2025,10.1080/10447318.2024.2331878,09-Apr-2024,https://doi.org/10.1080/10447318.2024.2331878,2036.0,3.0
"Silencing Bad Bots: Global, Legal and Political Questions for Mean Machine Communication",Meg Leta Jones,Communication Law and Policy,23,2,p159 - p195,2018,10.1080/10811680.2018.1430418,20-Feb-2018,https://doi.org/10.1080/10811680.2018.1430418,1019.0,7.0
An evaluation-aware and aligned method for transforming a production system into a cyber-physical production system,"Oscar Avila, Virginie Goepp, Hector Hostos",International Journal of Computer Integrated Manufacturing,,,p1 - p22,5187,10.1080/0951192x.2025.2545483,27-Aug-2025,https://doi.org/10.1080/0951192x.2025.2545483,31.0,2.0
A sibling interaction analysis dataset (SIBD): a scenario of screen-free programmable robotics in Chinese households,"Pei Chen, Tianyu Lao, Xuanhui Liu, Lingyun Sun, Yufan Xi, Cheng Yang, Weitao You",Interactive Learning Environments,33,3,p1967 - p1987,2025,10.1080/10494820.2024.2381196,29-Jul-2024,https://doi.org/10.1080/10494820.2024.2381196,133.0,0.0
"A heterogeneous robots collaboration for safety, security, and rescue robotics: e-ASIA joint research program for disaster risk and reduction management","Evgeni Magid, Fumitoshi Matsuno, Sakol Nakdhamabhorn, Nantida Nillahoot, Songpol Ongwattanakul, Branesh M Pillai, Dileep Sivaraman, Jackrit Suthakorn, Mikhail Svinin",Advanced Robotics,38,3,p129 - p151,2024,10.1080/01691864.2024.2309622,06-Feb-2024,https://doi.org/10.1080/01691864.2024.2309622,633.0,12.0
Identifying the promising production planning and scheduling method for manufacturing in Industry 4.0: a literature review,"Chen Chen, Wu Kan, Tiong Lee Kong",Production & Manufacturing Research,11,1,,2023,10.1080/21693277.2023.2279329,08-Nov-2023,https://doi.org/10.1080/21693277.2023.2279329,4865.0,6.0
Artificial intelligence in supply chain and operations management: a multiple case study research,"Violetta Giada Cannas, Maria Pia Ciano, Mattia Saltalamacchia, Raffaele Secchi",International Journal of Production Research,62,9,p3333 - p3360,2024,10.1080/00207543.2023.2232050,12-Jul-2023,https://doi.org/10.1080/00207543.2023.2232050,51437.0,101.0
Integrating ISO 9001 and Industry 4.0. An implementation guideline and PDCA model for manufacturing sector,"Anass Cherrafi, Andrea Chiarini",Total Quality Management & Business Excellence,34,13-14,p1629 - p1654,2023,10.1080/14783363.2023.2192916,11-Apr-2023,https://doi.org/10.1080/14783363.2023.2192916,1283.0,19.0
Human-robot collaboration assembly personalised safety detection method based on digital twin,"Hao Li, Gen Liu, Guofu Luo, Chunya Sun, Haoqi Wang, Xiaoyu Wen, Hongwen Xing, Luyao Yan, Wenchao Yang, Yuyan Zhang",Journal of Engineering Design,,,p1 - p23,5187,10.1080/09544828.2024.2357525,06-Jun-2024,https://doi.org/10.1080/09544828.2024.2357525,266.0,5.0
Assessing perceived assembly complexity in human-robot collaboration processes: a proposal based on Thurstone's law of comparative judgement,"Matteo Capponi, Fiorenzo Franceschini, Riccardo Gervasi, Luca Mastrogiacomo",International Journal of Production Research,62,14,p5315 - p5335,2024,10.1080/00207543.2023.2291519,12-Dec-2023,https://doi.org/10.1080/00207543.2023.2291519,452.0,18.0
Quality 4.0: technologies and readiness factors in the entire value flow life cycle,"Andrés Redchuk, Hilda Rousserie, Sergio Salimbeni",Production & Manufacturing Research,11,1,,2023,10.1080/21693277.2023.2238797,02-Aug-2023,https://doi.org/10.1080/21693277.2023.2238797,3119.0,11.0
MIUIC: A Human-Computer Collaborative Multimodal Intention-Understanding Algorithm Incorporating Comfort Analysis,"Zhiquan Feng, Qingbei Guo, Hongyue Wang, Liran Zhou",International Journal of Human–Computer Interaction,,,p1 - p14,5187,10.1080/10447318.2023.2247606,31-Aug-2023,https://doi.org/10.1080/10447318.2023.2247606,420.0,5.0
A comprehensive investigation of the effects of welding parameters on thermal efficiency in SMAW processes using FEM,"Marina Corral-Bobadilla, Rubén Lostado-Lorza, Sergio Ruiz-González, Celia Sabando-Fraile","Energy Sources, Part A: Recovery, Utilization, and Environmental Effects",47,2,,2025,10.1080/15567036.2025.2520434,29-Jun-2025,https://doi.org/10.1080/15567036.2025.2520434,39.0,0.0
Human-robot interaction in industrial collaborative robotics: a literature review of the decade 2008-2017,"Isma Akli, Mustapha Aouache, Abdelfetah Hentout, Abderraouf Maoudj",Advanced Robotics,33,15-16,p764 - p799,2019,10.1080/01691864.2019.1636714,04-Jul-2019,https://doi.org/10.1080/01691864.2019.1636714,10997.0,367.0
Human-robot collaborative work cell implementation through lean thinking,"Dario Antonelli, Dorota Stadnicka",International Journal of Computer Integrated Manufacturing,32,6,p580 - p595,2019,10.1080/0951192x.2019.1599437,05-Apr-2019,https://doi.org/10.1080/0951192x.2019.1599437,1239.0,34.0
Product ergonomics in industrial exoskeletons: potential enhancements for workforce efficiency and safety,"Pranav Madhav Kuber, Ehsan Rashedi",Theoretical Issues in Ergonomics Science,22,6,p729 - p752,2020,10.1080/1463922x.2020.1850905,09-Dec-2020,https://doi.org/10.1080/1463922x.2020.1850905,1069.0,30.0
Degraded situation awareness in a robotic workspace: accident report analysis,"Benjamin Camblor, David Daney, Charles Fage, Jean-Marc Salotti",Theoretical Issues in Ergonomics Science,23,1,p60 - p79,2022,10.1080/1463922x.2021.1879308,25-Feb-2021,https://doi.org/10.1080/1463922x.2021.1879308,291.0,5.0
A procedure for the stiffness identification of parallel robots under measurement limitations,"Rasool Bina, Ali Kamali E., Alexandr Klimchik, Afshin Taghvaeipour",Mechanics Based Design of Structures and Machines,52,7,p4710 - p4738,2024,10.1080/15397734.2023.2234991,22-Jul-2023,https://doi.org/10.1080/15397734.2023.2234991,319.0,2.0
An online compensation method for the trajectory error of robotic milling using extreme learning machine,"Qi Qi, Wenlei Xiao, Huang Zhang, Gang Zhao",International Journal of Computer Integrated Manufacturing,,,p1 - p21,5187,10.1080/0951192x.2025.2515407,23-Jun-2025,https://doi.org/10.1080/0951192x.2025.2515407,116.0,0.0
Exploring the effects of robot-assisted multimodal composition on students' audience awareness for English writing,"Hsiu-Ting Hung, Cheng-Yueh Jao, Hui-Chin Yeh",Computer Assisted Language Learning,38,7,p1423 - p1451,2025,10.1080/09588221.2023.2300972,23-Jan-2024,https://doi.org/10.1080/09588221.2023.2300972,1130.0,8.0
Towards a reachable active-passive assistive robotic device for the in-home rehabilitation of the upper-limbs,"Nabil Amari, Abderraouf Benali, Arthur Chevreau",Advanced Robotics,,,p1 - p23,5187,10.1080/01691864.2025.2566111,18-Oct-2025,https://doi.org/10.1080/01691864.2025.2566111,68.0,0.0
Extending factory digital Twins through human characterisation in Asset Administration Shell,"Niko Bonomi, Vincenzo Cutrona, Giacomo Delinavelli, Elias Montini, Paolo Pedrazzoli, Tamas Ruppert",International Journal of Computer Integrated Manufacturing,,,p1 - p18,5187,10.1080/0951192x.2023.2278108,11-Nov-2023,https://doi.org/10.1080/0951192x.2023.2278108,2182.0,20.0
A technology maturity assessment framework for Industry 5.0 machine vision systems based on systematic literature review in automotive manufacturing,"Antonios Gasteratos, Fotios K Konstantinidis, Spyridon G Mouroutsos, Nikolaos Myrillas, Konstantinos A Tsintotas",International Journal of Production Research,,,p1 - p37,5187,10.1080/00207543.2023.2270588,17-Oct-2023,https://doi.org/10.1080/00207543.2023.2270588,1684.0,45.0
A framework to design smart manufacturing systems for Industry 5.0 based on the human-automation symbiosis,"Marcello Pellicciari, Margherita Peruzzini, Elisa Prati",International Journal of Computer Integrated Manufacturing,,,p1 - p18,5187,10.1080/0951192x.2023.2257634,20-Sep-2023,https://doi.org/10.1080/0951192x.2023.2257634,6026.0,45.0
Multimodal Massage Localization Algorithm for Human Acupoints,"Zhiquan Feng, Ying Wang",International Journal of Human–Computer Interaction,41,10,p6011 - p6028,2025,10.1080/10447318.2024.2372893,09-Aug-2024,https://doi.org/10.1080/10447318.2024.2372893,265.0,4.0
Human-robot collaboration in restaurant kitchens: how collaborative chefs foster consumers' willingness to pay a premium,"Sooyoung Choi, Alisa Kazakova, Insin Kim, Yunmi Kim",Journal of Travel & Tourism Marketing,42,4,p439 - p460,2025,10.1080/10548408.2025.2468465,25-May-2025,https://doi.org/10.1080/10548408.2025.2468465,391.0,2.0
Service robots in my workplace: effects of employee-service robot co-work experiences on psychological empowerment,"Xin Liu, Lu Zhang, Tengteng Zhu",Journal of Hospitality Marketing & Management,34,2,p175 - p203,2025,10.1080/19368623.2024.2402488,17-Sep-2024,https://doi.org/10.1080/19368623.2024.2402488,1698.0,9.0
Scopus scientific mapping production in industry 4.0 (2011-2018): a bibliometric analysis,"Rejane Frozza, Leonardo Bertolin Furstenau, Daniel Hoppe, Sandra Iepsen, Liane Mahlmann Kipper",International Journal of Production Research,58,6,p1605 - p1627,2020,10.1080/00207543.2019.1671625,09-Oct-2019,https://doi.org/10.1080/00207543.2019.1671625,4237.0,196.0
Sizing the roles: an exploratory research about Logistics 4.0 diffusion,"Claudia Colicchia, Matthias Klumpp, Tiziana Modica, Elena Tappia",International Journal of Logistics Research and Applications,,,p1 - p23,5187,10.1080/13675567.2025.2485118,28-Mar-2025,https://doi.org/10.1080/13675567.2025.2485118,110.0,1.0
The concept of collaborative engineering: a systematic literature review,"Goran Putnik, Fernando Romero, Leonilde Varela",Production & Manufacturing Research,10,1,p784 - p839,2022,10.1080/21693277.2022.2133856,03-Nov-2022,https://doi.org/10.1080/21693277.2022.2133856,3284.0,9.0
Trends in the global research on the relationship between cleaner production and industry 4.0: a bibliometric literature review,"José Roberto Herrera Cantorani, Isotilia Costa Melo, Fábio Müller Guerrini, Luiz Philippsen Jr, Meire Ramalho de Oliveira, Geraldo Cardoso de Oliveira Neto, Thales Botelho de Sousa",Journal of Industrial and Production Engineering,42,2,p189 - p213,2025,10.1080/21681015.2024.2405100,23-Sep-2024,https://doi.org/10.1080/21681015.2024.2405100,379.0,2.0
The transformational power of smart factory technologies: A comprehensive analysis of quality improvement and technological innovation applying Blavaan and Bayesian SEM,"Anthony Bagherian, Subhodeep Mukherjee",Quality Management Journal,32,2,p67 - p91,2025,10.1080/10686967.2025.2483182,25-Apr-2025,https://doi.org/10.1080/10686967.2025.2483182,142.0,0.0
Logistics 4.0: a systematic review towards a new logistics system,"Eric H Grosse, Sven Winkelhaus",International Journal of Production Research,58,1,p18 - p43,2020,10.1080/00207543.2019.1612964,13-May-2019,https://doi.org/10.1080/00207543.2019.1612964,27800.0,564.0
Interaction and collaboration in robot-assisted language learning for adults,"Olov Engwall, José Lopes",Computer Assisted Language Learning,35,5-6,p1273 - p1309,2022,10.1080/09588221.2020.1799821,08-Aug-2020,https://doi.org/10.1080/09588221.2020.1799821,9397.0,55.0
"Systematic literature review of reverse logistics for e-waste: overview, analysis, and future research agenda","Hing Kai Chan, Zhiqin Ni, Zhen Tan",International Journal of Logistics Research and Applications,26,7,p843 - p871,2023,10.1080/13675567.2021.1993159,19-Oct-2021,https://doi.org/10.1080/13675567.2021.1993159,5057.0,29.0
A fuzzy-based model proposal for risk assessment prioritization using failure mode and effect analysis and Z numbers: a real case study in an automotive factory,"Emine Bozkus, İhsan Kaya",International Journal of Occupational Safety and Ergonomics,,,p1 - p20,5187,10.1080/10803548.2025.2517473,17-Jul-2025,https://doi.org/10.1080/10803548.2025.2517473,117.0,2.0
One-to-one relationships between Industry 4.0 technologies and Lean Production techniques: a multiple case study,"Maria Pia Ciano, Patrick Dallasega, Guido Orzes, Tommaso Rossi",International Journal of Production Research,59,5,p1386 - p1410,2021,10.1080/00207543.2020.1821119,01-Oct-2020,https://doi.org/10.1080/00207543.2020.1821119,20464.0,182.0
A review of explainable artificial intelligence in smart manufacturing,"Qi Liu, Xichun Luo, Rajeshkumar Madarkar, Abhilash Puthanveettil Madathil, Yi Qin, Charles Walker",International Journal of Production Research,,,p1 - p44,5187,10.1080/00207543.2025.2513574,04-Jun-2025,https://doi.org/10.1080/00207543.2025.2513574,3759.0,5.0
Scheduling policies analysis for matching operations in Bernoulli selective assembly lines,"Na Li, Xiaoxiao Shen",International Journal of Production Research,60,13,p3965 - p3988,2022,10.1080/00207543.2021.1939903,21-Jun-2021,https://doi.org/10.1080/00207543.2021.1939903,401.0,5.0
Grand challenges for human factors and ergonomics,"Tony Andre, Hasan Ayaz, Ahmet Cakir, Colin Drury, Vince Duffy, Mica Endsley, Qin Gao, Yinni Guo, Peter Hancock, Waldemar Karwowski, William S Marras, Patrick Rau, William Rouse, Paul Salmon, Gavriel Salvendy, Ben Sawyer, Kay Stanney, Neville Stanton, Andrew Thatcher, Jessie Yang",Theoretical Issues in Ergonomics Science,26,4,p361 - p456,2025,10.1080/1463922x.2024.2431336,02-Apr-2025,https://doi.org/10.1080/1463922x.2024.2431336,7663.0,4.0
Addressing the hazards of remote inspection techniques: a safety-net for vessel surveys,"Vera Alexandropoulou, Tafsir Matin Johansson, Klimanthia Kontaxaki, Aspasia Pastra, Nikoletta L Trivyza","Law, Innovation and Technology",16,1,p43 - p76,2024,10.1080/17579961.2023.2287390,08-Dec-2023,https://doi.org/10.1080/17579961.2023.2287390,1458.0,1.0
Generative artificial intelligence-driven sustainable supply chain management: a UNISONE framework for smart logistics and predictive analytics under Industry 5.0,Kuo-Yi Lin,International Journal of Logistics Research and Applications,,,p1 - p32,5187,10.1080/13675567.2025.2540855,06-Aug-2025,https://doi.org/10.1080/13675567.2025.2540855,364.0,2.0
A survey of digital twin implementations for industrial transformation: analysis of real-world case studies,"Sonia Bahfir, Wissame Belkorchi, Leila Zemmouchi-Ghomari",Australian Journal of Multi-Disciplinary Engineering,,,p1 - p39,5187,10.1080/14488388.2025.2565021,30-Sep-2025,https://doi.org/10.1080/14488388.2025.2565021,100.0,0.0
A new era for stress research: supporting user performance and experience in the digital age,"Ryon Cumings, Irene Y Feng, Gerald Matthews, Salim A Mouloua, Erika P de Los Santos",Ergonomics,68,6,p913 - p946,2025,10.1080/00140139.2024.2425953,08-Nov-2024,https://doi.org/10.1080/00140139.2024.2425953,846.0,3.0
Review of task allocation for human-robot collaboration in assembly,"Michael Freitag, Matthias Harms, Christoph Petzoldt",International Journal of Computer Integrated Manufacturing,36,11,p1675 - p1715,2023,10.1080/0951192x.2023.2204467,04-May-2023,https://doi.org/10.1080/0951192x.2023.2204467,6500.0,29.0
Grand challenges in industrial and systems engineering,"Laura Albert, Brian Denton, Maged Dessouky, Alexandre Dolgui, Vince Duffy, Waldemar Karwowski, Woo Chang Kim, Soundar Kumara, Jingshan Li, Azad M Madni, Leon McGinnis, William Rouse, Gavriel Salvendy, Jeff Shamma, Max Shen, David Simchi-Levi, Julie Swann, Manoj Kumar Tiwari",International Journal of Production Research,63,4,p1538 - p1583,2025,10.1080/00207543.2024.2432463,17-Jan-2025,https://doi.org/10.1080/00207543.2024.2432463,11836.0,7.0
A novel human-centred approach using Axiomatic Design and Kansei engineering for designing physically and cognitively safe human-robot collaborative workstations,"A Bonello, C A Brown, E Francalanza, M V Gauci, P Refalo",Production & Manufacturing Research,13,1,,2025,10.1080/21693277.2025.2508451,04-Jun-2025,https://doi.org/10.1080/21693277.2025.2508451,565.0,1.0
Issue PDF,,Technology|Architecture + Design,1,1,p1 - pcxxv,2017,10.1080/24751448.2017.1322873,01-May-2017,https://doi.org/10.1080/24751448.2017.1322873,163.0,0.0
Seven HCI Grand Challenges Revisited: Five-Year Progress,"Margherita Antona, Vincent G Duffy, Qin Gao, Waldemar Karwowski, Shin'ichi Konomi, Fiona Nah, Stavroula Ntoa, Pei-Luen Patrick Rau, Gavriel Salvendy, Keng Siau, Constantine Stephanidis, Jia Zhou",International Journal of Human–Computer Interaction,41,19,p11947 - p11995,2025,10.1080/10447318.2025.2450411,04-Feb-2025,https://doi.org/10.1080/10447318.2025.2450411,6324.0,14.0
Real-time sustainable cobotic disassembly planning using fuzzy reinforcement learning,"Ashkan Amirnia, Samira Keivanpour",International Journal of Production Research,63,10,p3798 - p3821,2025,10.1080/00207543.2024.2431172,26-Nov-2024,https://doi.org/10.1080/00207543.2024.2431172,363.0,2.0
A systematic strategy for the architecture design of collaborative and reconfigurable assembly lines,"Andrea Maria Zanchettin, Andrea Monguzzi, Paolo Rocco",International Journal of Production Research,62,24,p8880 - p8903,2024,10.1080/00207543.2024.2353789,15-May-2024,https://doi.org/10.1080/00207543.2024.2353789,292.0,2.0
TAD 8:2 Issue PDF,,Technology|Architecture + Design,8,2,p400 - p632,2024,10.1080/24751448.2024.2432809,26-Nov-2024,https://doi.org/10.1080/24751448.2024.2432809,93.0,0.0
"Driving industrial transformation: exploring the adoption, impact, and strategic frameworks for industry 4.0 technologies in Indian manufacturing sectors","Mukul K Paliwal, Vikrant Sharma",International Journal of Computer Integrated Manufacturing,,,p1 - p21,5187,10.1080/0951192x.2025.2496892,23-Apr-2025,https://doi.org/10.1080/0951192x.2025.2496892,96.0,1.0
Enabling Digital Twins: a simulation software perspective,"Angappa Gunasekaran, Seema Nagrani, Vaibhav S Narwane",Digital Twin,,,,5187,10.1080/27525783.2025.2533848,07-Aug-2025,https://doi.org/10.1080/27525783.2025.2533848,677.0,0.0
COMPANY-SPECIFIC LANGUAGE COURSEWARE: BELLINGUA AND LINGUATEX AS CASE STUDIES,"Els Heughebaert, Katrien Troubleyn",Computer Assisted Language Learning,9,4,p349 - p358,1996,10.1080/0958822960090406,09-Jul-2006,https://doi.org/10.1080/0958822960090406,16.0,0.0
Human centric innovation at the heart of industry 5.0 - exploring research challenges and opportunities,"Lian Duan, Ling Li",International Journal of Production Research,,,p1 - p33,5187,10.1080/00207543.2025.2462657,02-Mar-2025,https://doi.org/10.1080/00207543.2025.2462657,1226.0,11.0
Technologies of the collective: a qualitative study on challenges and solutions for integrating ethics from an engineering perspective,Nicole van Geel,Journal of Responsible Innovation,12,1,,2025,10.1080/23299460.2025.2534241,08-Sep-2025,https://doi.org/10.1080/23299460.2025.2534241,457.0,0.0
Monocular vision-based motion ranging and localisation for autonomous sorting in industrial robotic systems,Meijing Song,Australian Journal of Electrical and Electronics Engineering,,,p1 - p11,5187,10.1080/1448837x.2025.2551456,25-Aug-2025,https://doi.org/10.1080/1448837x.2025.2551456,15.0,1.0
"Incomplete regional innovation systems, territorial servitization and the distant hybridization of manufacturing and knowledge intensive business services (KIBS) industries: the case of collaborative robots","Jorge Gallego, Francesco D Sandulli, Oscar Vasquez",European Planning Studies,33,8,p1319 - p1335,2025,10.1080/09654313.2025.2535457,19-Jul-2025,https://doi.org/10.1080/09654313.2025.2535457,47.0,2.0
ABSTRACTS 47th congress of the Society of Biomechanics,,Computer Methods in Biomechanics and Biomedical Engineering,25,sup1,s1 - s307,2022,10.1080/10255842.2022.2116885,31-Oct-2022,https://doi.org/10.1080/10255842.2022.2116885,1284.0,3.0
Transitioning digital automation and manufacturing into industry 5.0,"Raul Duarte Salgueiral Gomes Campilho, Francisco José Gomes da Silva, Arnaldo Manuel Guedes Pinto, Kyoung-Yun Kim, Jeremy Rickli",International Journal of Computer Integrated Manufacturing,38,7,p861 - p863,2025,10.1080/0951192x.2025.2510829,01-Jul-2025,https://doi.org/10.1080/0951192x.2025.2510829,368.0,0.0
A scoping review of human robot interaction research towards Industry 5.0 human-centric workplaces,"Fabio Fruggiero, W Patrick Neumann, Sotirios Panagou",International Journal of Production Research,62,3,p974 - p990,2024,10.1080/00207543.2023.2172473,09-Feb-2023,https://doi.org/10.1080/00207543.2023.2172473,5787.0,100.0
Bimanual robot control for surface treatment tasks,"J Ernesto Solanes, Alberto García, Vicent Girbés-Juan, Luis Gracia, Pau Muñoz-Benavent, Josep Tornero",International Journal of Systems Science,53,1,p74 - p107,2022,10.1080/00207721.2021.1938279,15-Jun-2021,https://doi.org/10.1080/00207721.2021.1938279,408.0,12.0
Blockchain in transport and logistics - paradigms and transitions,"Alexandre Dolgui, Lenny Koh, Joseph Sarkis",International Journal of Production Research,58,7,p2054 - p2062,2020,10.1080/00207543.2020.1736428,06-Apr-2020,https://doi.org/10.1080/00207543.2020.1736428,33274.0,210.0
Transporting an Object by a Passive Mobile Robot with Servo Brakes in Cooperation with a Human,"Kenta Fukaya, Yasuhisa Hirata, Kazuhiro Kosuge, Zhidong Wang",Advanced Robotics,23,4,p387 - p404,2009,10.1163/156855309x408745,02-Apr-2012,https://doi.org/10.1163/156855309x408745,193.0,33.0
Motion Control of Caster-Type Passive Mobile Robot with Servo Brakes,"Yasuhisa Hirata, Kazuhiro Kosuge, Masao Saida",Advanced Robotics,26,11-12,p1271 - p1290,2012,10.1080/01691864.2012.689728,05-Jul-2012,https://doi.org/10.1080/01691864.2012.689728,278.0,12.0
Exploring age-related phenomena in VR-based teleoperations: a human-centered perspective for industry 5.0,"Luciano Gamberini, Federica Nenna, Patrik Pluchino, Davide Zanardi",Behaviour & Information Technology,43,15,p3922 - p3938,2024,10.1080/0144929x.2023.2291678,08-Dec-2023,https://doi.org/10.1080/0144929x.2023.2291678,246.0,3.0
FROM WORKING HYPOTHESES TO DEVELOPMENT: THE LISA PLATFORM,Jozef Colpaert,Computer Assisted Language Learning,9,4,p385 - p393,1996,10.1080/0958822960090410,09-Jul-2006,https://doi.org/10.1080/0958822960090410,16.0,0.0
Decision process for industry 5.0,Andrej Bregar,Journal of Decision Systems,33,sup1,p433 - p447,2024,10.1080/12460125.2024.2359158,23-May-2024,https://doi.org/10.1080/12460125.2024.2359158,295.0,3.0
ABSTRACTS 46ème Congrès Société Biomécanique,,Computer Methods in Biomechanics and Biomedical Engineering,24,sup1,s1 - s325,2021,10.1080/10255842.2021.1978758,26-Nov-2021,https://doi.org/10.1080/10255842.2021.1978758,1919.0,17.0
A human factors-aware assistance system in manufacturing based on gamification and hardware modularisation,"Sebastian Braun, Chi-Tsun Cheng, Steve Dowey, Jessica Ulmer, Jörg Wollert",International Journal of Production Research,61,22,p7760 - p7775,2023,10.1080/00207543.2023.2166140,13-Jan-2023,https://doi.org/10.1080/00207543.2023.2166140,1148.0,13.0
Innovative hybrid kitting systems for automotive manufacturing: performance analysis and optimisation,"Telmo Pinto, Cristóvão Silva, Mário Jorge Simões",International Journal of Production Research,63,19,p7013 - p7038,2025,10.1080/00207543.2025.2491783,22-Apr-2025,https://doi.org/10.1080/00207543.2025.2491783,148.0,1.0
Prospects of application of IoT-based advanced technologies in remanufacturing process towards sustainable development and energy-efficient use,"Minh Quang Chau, van Dat Chu, Thanh Tung Huynh, Dinh Tuyen Nguyen, Thanh Phuong Nguyen, Xuan Phuong Nguyen, Tri Hieu le","Energy Sources, Part A: Recovery, Utilization, and Environmental Effects",47,2,,2025,10.1080/15567036.2021.1994057,30-Oct-2021,https://doi.org/10.1080/15567036.2021.1994057,1064.0,32.0
A regeneration process chain with an integrated decision support system for individual regeneration processes based on a virtual twin,"Berend Denkena, Philipp Gilge, Stefan Helber, Carolin Kellenbrink, Nicolas Nübel, André Schnabel, Joerg R Seume",International Journal of Production Research,60,13,p4137 - p4158,2022,10.1080/00207543.2022.2051089,05-Apr-2022,https://doi.org/10.1080/00207543.2022.2051089,2283.0,8.0
"An overview on human-centred technologies, measurements and optimisation in assembly systems","Oussama Ben-Ammar, Ilhem Slama, Rim Slama, Pierre Slangen, Houda Tlahig",International Journal of Production Research,62,14,p5336 - p5358,2024,10.1080/00207543.2023.2286627,30-Nov-2023,https://doi.org/10.1080/00207543.2023.2286627,621.0,15.0
"Implementing industry 4.0 for flexibility, quality, and productivity improvement: technology arrangements for different purposes","Daisy Valle Enrique, Alejandro G Frank, Giuliano Almeida Marodin, Fernando Bigares Charrua Santos",International Journal of Production Research,61,20,p7001 - p7026,2023,10.1080/00207543.2022.2142689,09-Nov-2022,https://doi.org/10.1080/00207543.2022.2142689,1335.0,18.0
Digi-flash pedagogy confronts new emerging technologies - Maturity level evaluation case study,"Antti Liljaniemi, Heikki Paavilainen, Timo Tuominen",Cogent Engineering,10,1,,2023,10.1080/23311916.2023.2186201,05-Mar-2023,https://doi.org/10.1080/23311916.2023.2186201,1189.0,1.0
Back Matter,,Cast Metals,4,3,p177 - p180,1991,10.1080/09534962.1991.11819077,07-Dec-2016,https://doi.org/10.1080/09534962.1991.11819077,0.0,0.0
ACTIVITIES,"Elsbeth Martindale Helgeson, Scott Cabot Willis","Activities, Adaptation & Aging",9,2,p21 - p107,1987,10.1300/j016v09n02_02,25-Oct-2008,https://doi.org/10.1300/j016v09n02_02,7.0,0.0
Artificial intelligence: a destructive and yet creative force in the skilled labour market,"Anne-Marie Côté, Zhan Su, Guillaume Togay",Human Resource Development International,24,3,p341 - p352,2021,10.1080/13678868.2020.1818513,13-Sep-2020,https://doi.org/10.1080/13678868.2020.1818513,6058.0,46.0
A framework for evaluating the barriers to adopting Industry 4.0 in Indian SMEs: an approach of best-worst method,"Pravin Kumar, Roshan Kumar, Garima Sharma, Rajesh Kumar Singh, Anurika Vaish",Journal of Management Analytics,11,4,p705 - p737,2024,10.1080/23270012.2024.2362645,12-Sep-2024,https://doi.org/10.1080/23270012.2024.2362645,364.0,1.0
Simple and practical design method of dynamic limiter to realise unified position and force control,"Taiga Shinozaki, Shunsuke Suzuki",Advanced Robotics,39,10,p589 - p605,2025,10.1080/01691864.2025.2506511,16-Jun-2025,https://doi.org/10.1080/01691864.2025.2506511,64.0,0.0
